run,answer_type,problem_type,accuracy,correct,count
LoRA algorithmic_scaffold_v2,non_binary,bijection_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,bijection_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,bijection_count,1.0,1,1
Qwen3 1.7B base,non_binary,bijection_count,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,binomial_coefficient,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,binomial_coefficient,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,binomial_coefficient,1.0,1,1
Qwen3 1.7B base,non_binary,binomial_coefficient,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,combination_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,combination_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,combination_count,1.0,1,1
Qwen3 1.7B base,non_binary,combination_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,cyclic_group_element_order,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,cyclic_group_element_order,1.0,1,1
Qwen3 1.7B base,non_binary,cyclic_group_element_order,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,cyclic_group_element_order,0.0,0,1
LoRA algorithmic_scaffold_v2,non_binary,euclidean_gcd,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,euclidean_gcd,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,euclidean_gcd,1.0,1,1
Qwen3 1.7B base,non_binary,euclidean_gcd,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,finite_field_roots,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,finite_field_roots,0.0,0,1
LoRA algorithmic_scaffold_v3_5,non_binary,finite_field_roots,0.0,0,1
Qwen3 1.7B base,non_binary,finite_field_roots,0.0,0,1
LoRA algorithmic_scaffold_v2,non_binary,generated_subgroup_size,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,generated_subgroup_size,1.0,1,1
