run,answer_type,problem_type,accuracy,correct,count
LoRA algorithmic_scaffold_v2,non_binary,binomial_p_adic_valuation,0.0,0,1
LoRA algorithmic_scaffold_v3_5,non_binary,binomial_p_adic_valuation,0.0,0,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,binomial_p_adic_valuation,0.0,0,1
Qwen3 1.7B base,non_binary,binomial_p_adic_valuation,0.0,0,1
LoRA algorithmic_scaffold_v2,non_binary,carmichael_lambda,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,carmichael_lambda,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,carmichael_lambda,1.0,1,1
Qwen3 1.7B base,non_binary,carmichael_lambda,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,crt_three_moduli,0.0,0,1
LoRA algorithmic_scaffold_v3_5,non_binary,crt_three_moduli,0.0,0,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,crt_three_moduli,0.0,0,1
Qwen3 1.7B base,non_binary,crt_three_moduli,0.0,0,1
LoRA algorithmic_scaffold_v2,non_binary,divisor_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,divisor_count,1.0,1,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,divisor_count,1.0,1,1
Qwen3 1.7B base,non_binary,divisor_count,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,extended_euclidean_inverse,0.0,0,1
LoRA algorithmic_scaffold_v3_5,non_binary,extended_euclidean_inverse,0.0,0,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,extended_euclidean_inverse,0.0,0,1
Qwen3 1.7B base,non_binary,extended_euclidean_inverse,0.0,0,1
Qwen3 1.7B base,non_binary,factorial_base_trailing_zeros,1.0,1,1
LoRA algorithmic_scaffold_v2,non_binary,factorial_base_trailing_zeros,0.0,0,1
LoRA algorithmic_scaffold_v3_5,non_binary,factorial_base_trailing_zeros,0.0,0,1
LoRA algorithmic_scaffold_v3_5_lora12,non_binary,factorial_base_trailing_zeros,0.0,0,1
LoRA algorithmic_scaffold_v2,non_binary,factorial_p_adic_valuation,1.0,1,1
LoRA algorithmic_scaffold_v3_5,non_binary,factorial_p_adic_valuation,1.0,1,1
